,path,label,predict,score
0,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170406_10402553.jpg,1,0,"[6.4766435623168945, -4.83351469039917, 0.4594123959541321]"
1,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170414_13333216.jpg,1,0,"[5.657937049865723, -2.156527042388916, -1.557114601135254]"
2,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c6137_img20170502_16315051.jpg,0,1,"[2.0938174724578857, 4.073475360870361, -3.640610456466675]"
3,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/img20170509_10444825.jpg,2,1,"[0.8856140971183777, 7.1710076332092285, -5.49984884262085]"
4,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/3/c2398_img20170424_10225149.jpg,3,2,"[0.44816356897354126, 0.4321328103542328, 0.47095462679862976]"
5,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20161119_14481120.jpg,1,0,"[6.6403489112854, -1.9550949335098267, -2.934359550476074]"
6,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/img20161118_10344385.jpg,2,1,"[0.14097021520137787, 2.763895034790039, -1.0313133001327515]"
7,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/img20170504_17240392.jpg,2,1,"[-0.5272403359413147, 4.900423526763916, -3.3449299335479736]"
8,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170413_10423806.jpg,1,0,"[4.6759514808654785, -1.728659987449646, -1.8271677494049072]"
9,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170425_17290865.jpg,1,0,"[4.319835186004639, -1.4933804273605347, -1.242635726928711]"
10,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c9695_img20170406_16370150.jpg,0,1,"[0.2732612192630768, 7.618618965148926, -5.911298751831055]"
11,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c2214_img20170407_13380485.jpg,0,1,"[3.1813435554504395, 6.875781536102295, -7.865460395812988]"
12,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c3372_img20161118_13241304.jpg,2,1,"[1.482063889503479, 4.641099452972412, -4.126491069793701]"
13,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/img20170427_16015156.jpg,0,1,"[1.7826311588287354, 4.316747188568115, -4.21187686920166]"
14,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c9535_img20170503_10142322.jpg,0,1,"[2.1894326210021973, 3.8354408740997314, -4.0549540519714355]"
15,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170411_16112871.jpg,1,0,"[4.479039669036865, -4.577635288238525, 2.571073293685913]"
16,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c1577_img20170406_16370150.jpg,0,1,"[0.2732612192630768, 7.618618965148926, -5.911298751831055]"
17,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20161121_10052879.jpg,1,0,"[4.885100841522217, -0.8010770678520203, -2.453566312789917]"
18,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c4020_img20170406_10001129.jpg,2,1,"[0.8009443283081055, 6.243929386138916, -5.782735347747803]"
19,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170406_16451080.jpg,1,0,"[6.515088081359863, -1.498536467552185, -2.751850128173828]"
20,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170414_10513968.jpg,1,0,"[7.040074348449707, -1.7893425226211548, -2.380337953567505]"
21,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/img20170425_16360405.jpg,2,1,"[0.6719827651977539, 6.5014472007751465, -5.70499849319458]"
22,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20161119_14404435.jpg,1,0,"[5.398289680480957, -1.075230360031128, -2.566411018371582]"
23,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c7441_img20170503_11262827.jpg,0,1,"[2.6607015132904053, 6.168531894683838, -7.325863838195801]"
24,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/3/c766_img20161118_14503209.jpg,3,2,"[-0.1807980239391327, -3.766279697418213, 5.0024285316467285]"
25,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c136_img20170420_17341233.jpg,0,0,"[4.183823585510254, 2.4865219593048096, -4.398416996002197]"
26,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170414_09421353.jpg,1,0,"[6.068732738494873, -2.709947347640991, -1.7887133359909058]"
27,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c5464_img20161122_13240109.jpg,0,1,"[2.2677998542785645, 6.272071361541748, -6.394986629486084]"
28,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20161119_17005946.jpg,1,0,"[2.8720948696136475, -1.0031498670578003, -0.22063663601875305]"
29,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/3/c7153_img20161122_09560484.jpg,3,2,"[1.1647275686264038, -3.090869426727295, 3.9264512062072754]"
30,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/3/img20161122_09560484.jpg,3,2,"[1.1647275686264038, -3.090869426727295, 3.9264512062072754]"
31,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170411_16464759.jpg,1,0,"[3.722956895828247, -1.742621660232544, -0.04524647817015648]"
32,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170508_17295689.jpg,1,0,"[4.834477424621582, -3.184257745742798, -0.5415739417076111]"
33,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170428_10344180.jpg,1,0,"[4.988175868988037, -1.644910454750061, -1.7581510543823242]"
34,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c1376_img20170406_10470749.jpg,2,1,"[0.477304071187973, 5.985707759857178, -5.160279750823975]"
35,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/img20170509_10502726.jpg,2,1,"[-3.241842031478882, 6.31705904006958, -1.7577259540557861]"
36,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20161122_14321365.jpg,1,0,"[3.9160728454589844, -2.299987554550171, -0.004986715503036976]"
37,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/0/c3202_img20170504_13565641.jpg,0,0,"[4.065764427185059, 3.072929620742798, -5.568365573883057]"
38,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c6771_img20161121_10513657.jpg,2,1,"[1.2622021436691284, 7.705676555633545, -6.389516830444336]"
39,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/2/c9599_img20161118_10344385.jpg,2,1,"[0.14097021520137787, 2.763895034790039, -1.0313133001327515]"
40,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170407_14595735.jpg,1,0,"[3.5691781044006348, -4.9144086837768555, 3.1807849407196045]"
41,/home/njuciairs/Hejia/xRaydata/zipXrayImages/fourClasses_val/1/img20170503_16110201.jpg,1,0,"[7.286635875701904, -1.872105598449707, -3.615434408187866]"
